日付,名前,緯度,経度
2026/06/09,大地の精霊,35.291585,136.790071
2026/06/09,大地の精霊,35.084216,136.900016
2026/06/09,水の精霊,43.832656,144.609286
2026/06/09,水の精霊,43.212647,140.987271
2026/06/09,水の精霊,43.131808,141.235085
2026/06/09,水の精霊,37.91061,140.137339
2026/06/09,水の精霊,35.742828,140.054875
2026/06/09,水の精霊,35.549752,139.259278
2026/06/09,水の精霊,35.394739,139.47871
2026/06/09,水の精霊,36.293616,139.368918
2026/06/09,水の精霊,36.433846,139.067345
2026/06/09,水の精霊,35.356245,137.09188
2026/06/09,水の精霊,35.459368,136.707875
2026/06/09,水の精霊,34.6556,137.366746
2026/06/09,水の精霊,37.320584,138.573431
2026/06/09,水の精霊,34.733811,136.48825
2026/06/09,水の精霊,34.772524,134.650136
2026/06/09,水の精霊,34.629564,135.500632
2026/06/09,水の精霊,34.759919,135.720134
2026/06/09,水の精霊,35.136133,135.912101
2026/06/09,水の精霊,34.967884,135.884988
2026/06/09,水の精霊,35.21423,136.131788
2026/06/09,炎の精霊,35.562386,140.164847
2026/06/09,炎の精霊,35.755695,139.423853
2026/06/09,炎の精霊,36.370159,138.326552
2026/06/09,炎の精霊,31.915123,131.412803
2026/06/09,風の精霊,39.234383,140.165212
2026/06/09,風の精霊,35.446414,139.5884
2026/06/09,風の精霊,35.136475,138.711605
2026/06/09,風の精霊,34.499284,135.829713
2026/06/09,風の精霊,34.394127,132.372766
2026/06/09,風の精霊,35.50995,133.907973
2026/06/09,風の精霊,34.237057,133.635029
2026/06/09,風の精霊,33.606791,133.689961
2026/06/09,風の精霊,33.922715,130.94637
2026/06/09,風の精霊,33.68625,130.398185
2026/06/09,風の精霊,33.448132,130.562341
2026/06/09,風の精霊,31.834302,130.315636
2026/06/09,大地の精霊,36.229813,138.024663
2026/06/09,大地の精霊,33.949378,132.04382
2026/06/09,大地の精霊,34.734251,133.909342
2026/06/09,大地の精霊,33.527408,133.250813
2026/06/09,大地の精霊,33.751339,130.754458
2026/06/09,水の精霊,43.176043,141.28922
2026/06/09,水の精霊,35.794459,140.219394
2026/06/09,水の精霊,36.100805,139.176393
2026/06/09,水の精霊,35.254503,139.129758
2026/06/09,水の精霊,36.370066,140.301493
2026/06/09,水の精霊,36.35746,140.603371
2026/06/09,水の精霊,36.127806,140.110831
2026/06/09,水の精霊,36.20411,140.384509
2026/06/09,水の精霊,37.509505,138.765149
2026/06/09,水の精霊,34.655339,135.117002
2026/06/09,水の精霊,34.707606,135.116526
2026/06/09,水の精霊,34.954623,135.144115
2026/06/09,水の精霊,35.030198,134.487505
2026/06/09,水の精霊,34.080665,134.348869
2026/06/09,炎の精霊,38.915262,141.097598
2026/06/09,炎の精霊,34.734677,137.641547
2026/06/09,炎の精霊,35.162591,136.186373
2026/06/09,炎の精霊,34.655545,133.964514
2026/06/09,炎の精霊,33.869292,130.617576
2026/06/09,風の精霊,40.95634,141.316868
2026/06/09,風の精霊,40.596375,141.152408
2026/06/09,風の精霊,35.999338,139.670849
2026/06/09,風の精霊,36.751772,137.228965
2026/06/09,風の精霊,36.522827,136.625618
2026/06/09,風の精霊,36.293713,136.296204
2026/06/09,風の精霊,36.523041,136.625404
2026/06/09,風の精霊,34.811161,138.023794
2026/06/09,風の精霊,33.961586,131.961565
2026/06/09,風の精霊,34.080303,131.769394
2026/06/09,風の精霊,34.276693,133.991597
2026/06/09,風の精霊,33.236498,129.849086
2026/06/09,風の精霊,32.357765,130.507943
2026/06/09,大地の精霊,38.371439,140.878129
2026/06/09,大地の精霊,39.223425,141.122015
2026/06/09,大地の精霊,39.222717,141.122477
2026/06/09,大地の精霊,40.559741,141.45428
2026/06/09,大地の精霊,40.463555,141.61864
2026/06/09,大地の精霊,35.356108,140.054966
2026/06/09,大地の精霊,36.089234,139.423435
2026/06/09,大地の精霊,35.973101,140.055381
2026/06/09,大地の精霊,36.217105,140.246735
2026/06/09,大地の精霊,34.303058,133.93669
2026/06/09,水の精霊,43.212229,141.53398
2026/06/09,水の精霊,43.247805,141.892187
2026/06/09,水の精霊,42.340635,140.960321
2026/06/09,水の精霊,40.113288,141.808875
2026/06/09,水の精霊,37.647638,140.43874
2026/06/09,水の精霊,37.169357,140.273945
2026/06/09,水の精霊,37.872433,138.408398
2026/06/09,水の精霊,37.47294,139.012462
2026/06/09,水の精霊,36.689758,138.354027
2026/06/09,水の精霊,34.785787,134.897314
2026/06/09,水の精霊,35.019009,135.226182
2026/06/09,水の精霊,34.538472,133.278948
2026/06/09,水の精霊,31.766942,130.78204
2026/06/09,炎の精霊,41.598733,140.328886
2026/06/09,炎の精霊,43.924357,144.114275
