日付,名前,緯度,経度
2026/06/15,大地の精霊,39.725222,141.097605
2026/06/15,大地の精霊,35.832776,139.753096
2026/06/15,大地の精霊,34.784613,137.038064
2026/06/15,大地の精霊,35.136242,139.093933
2026/06/15,大地の精霊,35.510174,134.240663
2026/06/15,水の精霊,38.915262,141.097598
2026/06/15,水の精霊,35.857543,140.028032
2026/06/15,水の精霊,35.90972,139.478803
2026/06/15,水の精霊,35.562479,139.451371
2026/06/15,水の精霊,35.717229,139.231813
2026/06/15,水の精霊,36.370205,139.808151
2026/06/15,水の精霊,35.278904,139.670523
2026/06/15,水の精霊,35.343187,139.423869
2026/06/15,水の精霊,35.562231,139.341122
2026/06/15,水の精霊,36.344716,140.412735
2026/06/15,水の精霊,36.0379,140.082389
2026/06/15,水の精霊,36.293818,140.356797
2026/06/15,水の精霊,35.343249,136.625551
2026/06/15,水の精霊,34.787241,137.146339
2026/06/15,水の精霊,35.368143,136.78834
2026/06/15,水の精霊,34.940995,136.927943
2026/06/15,水の精霊,35.097062,135.556215
2026/06/15,水の精霊,34.863204,134.512954
2026/06/15,水の精霊,34.76027,135.226636
2026/06/15,水の精霊,34.655491,135.171511
2026/06/15,水の精霊,34.66875,135.418843
2026/06/15,水の精霊,34.459772,135.418477
2026/06/15,水の精霊,34.863034,135.445347
2026/06/15,水の精霊,34.067144,131.029024
2026/06/15,水の精霊,26.143855,127.709156
2026/06/15,水の精霊,33.487924,130.534801
2026/06/15,炎の精霊,44.717549,141.810719
2026/06/15,炎の精霊,39.615012,141.948026
2026/06/15,炎の精霊,35.832776,139.753096
2026/06/15,炎の精霊,37.747593,139.011974
2026/06/15,炎の精霊,34.575737,135.664673
2026/06/15,炎の精霊,34.537885,135.583001
2026/06/15,炎の精霊,34.499236,133.360934
2026/06/15,炎の精霊,33.988883,134.430771
2026/06/15,炎の精霊,33.646391,133.771464
2026/06/15,炎の精霊,33.8698,130.6719
2026/06/15,風の精霊,43.420976,144.773871
2026/06/15,風の精霊,41.789438,140.82063
2026/06/15,風の精霊,42.864846,141.645892
2026/06/15,風の精霊,43.050839,141.261833
2026/06/15,風の精霊,41.846639,140.741341
2026/06/15,風の精霊,43.798604,142.441664
2026/06/15,風の精霊,43.132351,141.562099
2026/06/15,風の精霊,38.334362,140.960187
2026/06/15,風の精霊,38.383855,140.246794
2026/06/15,風の精霊,37.509659,140.136432
2026/06/15,風の精霊,37.506778,140.140816
2026/06/15,風の精霊,40.6082,141.453824
2026/06/15,風の精霊,35.433526,140.384195
2026/06/15,風の精霊,37.383783,138.600547
2026/06/15,風の精霊,36.510395,136.542868
2026/06/15,風の精霊,36.662765,138.244025
2026/06/15,風の精霊,36.599629,138.160565
2026/06/15,風の精霊,34.915537,138.353612
2026/06/15,風の精霊,34.889723,136.48868
2026/06/15,風の精霊,34.735131,135.885261
2026/06/15,風の精霊,34.694355,134.92478
2026/06/15,風の精霊,34.185101,135.171555
2026/06/15,風の精霊,34.460283,133.771865
2026/06/15,風の精霊,34.108405,134.461255
2026/06/15,風の精霊,33.870073,132.757207
2026/06/15,風の精霊,33.28953,131.495177
2026/06/15,風の精霊,32.397111,131.632291
2026/06/15,風の精霊,26.273955,127.738791
2026/06/15,風の精霊,32.944702,129.958964
2026/06/15,風の精霊,31.71318,130.72717
2026/06/15,風の精霊,31.549173,130.559785
2026/06/15,大地の精霊,34.668736,134.101492
2026/06/15,大地の精霊,34.002866,134.353845
2026/06/15,水の精霊,43.385444,145.130426
2026/06/15,水の精霊,38.048186,140.164661
2026/06/15,水の精霊,35.973908,139.286599
2026/06/15,水の精霊,36.63813,139.013164
2026/06/15,水の精霊,36.255297,139.999919
2026/06/15,水の精霊,35.782317,137.008848
2026/06/15,水の精霊,34.890827,136.819665
2026/06/15,水の精霊,36.280944,136.323735
2026/06/15,水の精霊,36.038568,136.13157
2026/06/15,水の精霊,35.98671,136.515786
2026/06/15,水の精霊,34.811956,136.212798
2026/06/15,水の精霊,35.175103,136.213738
2026/06/15,水の精霊,35.511348,133.580242
2026/06/15,水の精霊,33.527457,133.909339
2026/06/15,水の精霊,33.527649,133.579845
2026/06/15,水の精霊,33.605803,131.223022
2026/06/15,水の精霊,33.593724,130.699725
2026/06/15,水の精霊,31.686502,130.946517
2026/06/15,水の精霊,25.072665,121.536351
2026/06/15,炎の精霊,43.48919,141.92059
2026/06/15,炎の精霊,35.948232,137.969999
2026/06/15,炎の精霊,34.498546,132.589467
2026/06/15,炎の精霊,33.513338,133.278333
2026/06/15,風の精霊,42.516077,140.384251
2026/06/15,風の精霊,45.388553,141.70084
2026/06/15,風の精霊,38.395999,140.384356
2026/06/15,風の精霊,38.693927,140.329977
2026/06/15,風の精霊,39.149488,141.179466
2026/06/15,風の精霊,40.751838,140.740437
2026/06/15,風の精霊,40.6083,141.1791
2026/06/15,風の精霊,37.118258,139.998907
2026/06/15,風の精霊,36.587294,137.090446
