日付,名前,緯度,経度
2026/06/03,大地の精霊,35.895991,139.835849
2026/06/03,大地の精霊,35.639827,138.518552
2026/06/03,水の精霊,37.722851,140.438944
2026/06/03,水の精霊,35.67881,140.246204
2026/06/03,水の精霊,35.909601,139.53377
2026/06/03,水の精霊,35.575366,139.752914
2026/06/03,水の精霊,35.742723,139.8902
2026/06/03,水の精霊,36.484573,140.054902
2026/06/03,水の精霊,36.586589,139.836223
2026/06/03,水の精霊,36.789689,139.779868
2026/06/03,水の精霊,35.562129,139.56129
2026/06/03,水の精霊,35.368884,139.259273
2026/06/03,水の精霊,36.268734,138.93013
2026/06/03,水の精霊,36.357564,139.122639
2026/06/03,水の精霊,36.0379,140.082389
2026/06/03,水の精霊,35.149467,137.036816
2026/06/03,水の精霊,37.358601,138.600419
2026/06/03,水の精霊,36.789563,136.762251
2026/06/03,水の精霊,34.668812,137.778603
2026/06/03,水の精霊,35.136445,136.625437
2026/06/03,水の精霊,34.694212,135.143756
2026/06/03,水の精霊,34.694355,134.92478
2026/06/03,水の精霊,34.785673,135.665005
2026/06/03,水の精霊,34.681403,135.55538
2026/06/03,水の精霊,33.275471,129.822156
2026/06/03,炎の精霊,34.928247,138.271551
2026/06/03,炎の精霊,34.916523,135.390959
2026/06/03,風の精霊,43.039447,141.289644
2026/06/03,風の精霊,38.319353,141.485474
2026/06/03,風の精霊,39.481082,141.096783
2026/06/03,風の精霊,36.216964,139.368814
2026/06/03,風の精霊,35.356217,136.708817
2026/06/03,風の精霊,34.394716,132.427943
2026/06/03,風の精霊,33.713046,132.700848
2026/06/03,風の精霊,33.210196,131.549808
2026/06/03,風の精霊,32.851387,130.754352
2026/06/03,大地の精霊,39.284744,140.439241
2026/06/03,大地の精霊,35.781377,139.259166
2026/06/03,大地の精霊,33.552477,131.273296
2026/06/03,大地の精霊,32.008705,131.275747
2026/06/03,大地の精霊,32.931325,130.53492
2026/06/03,大地の精霊,33.68625,130.398185
2026/06/03,水の精霊,38.632484,139.860531
2026/06/03,水の精霊,37.093498,140.274142
2026/06/03,水の精霊,35.393346,140.081956
2026/06/03,水の精霊,36.101553,139.835551
2026/06/03,水の精霊,36.319198,139.972496
2026/06/03,水の精霊,35.0191,136.8704
2026/06/03,水の精霊,36.517857,136.598225
2026/06/03,水の精霊,35.614354,136.049436
2026/06/03,水の精霊,35.045615,138.408988
2026/06/03,水の精霊,34.433801,136.515722
2026/06/03,水の精霊,35.742844,135.116781
2026/06/03,水の精霊,34.863716,134.622899
2026/06/03,水の精霊,34.939967,136.274331
2026/06/03,水の精霊,35.071554,134.074085
2026/06/03,水の精霊,34.460031,133.387777
2026/06/03,水の精霊,34.120221,134.537627
2026/06/03,炎の精霊,39.284423,141.097539
2026/06/03,炎の精霊,36.433845,138.957268
2026/06/03,炎の精霊,36.420909,139.259315
2026/06/03,炎の精霊,35.058461,138.92918
2026/06/03,炎の精霊,35.084481,134.156356
2026/06/03,炎の精霊,34.35519,133.991948
2026/06/03,炎の精霊,31.591943,130.480027
2026/06/03,風の精霊,41.823176,140.796093
2026/06/03,風の精霊,43.796799,143.921642
2026/06/03,風の精霊,42.492771,140.877821
2026/06/03,風の精霊,42.830351,141.673725
2026/06/03,風の精霊,43.792839,143.91808
2026/06/03,風の精霊,38.952673,139.862504
2026/06/03,風の精霊,39.625959,141.098986
2026/06/03,風の精霊,40.95634,141.316868
2026/06/03,風の精霊,35.303977,137.366366
2026/06/03,風の精霊,33.804324,135.363718
2026/06/03,風の精霊,33.975427,131.934165
2026/06/03,風の精霊,34.198788,131.468153
2026/06/03,風の精霊,34.760865,134.240785
2026/06/03,風の精霊,33.566439,133.716692
2026/06/03,風の精霊,33.527408,133.250813
2026/06/03,風の精霊,33.354885,130.3698
2026/06/03,風の精霊,33.68625,130.398185
2026/06/03,風の精霊,33.790946,131.001399
2026/06/03,大地の精霊,40.198245,141.179507
2026/06/03,大地の精霊,35.278755,140.384147
2026/06/03,大地の精霊,35.084785,136.131581
2026/06/03,大地の精霊,34.03974,131.632161
2026/06/03,水の精霊,38.147597,140.274236
2026/06/03,水の精霊,37.081146,140.960392
2026/06/03,水の精霊,39.651384,140.219311
2026/06/03,水の精霊,35.792684,140.438436
2026/06/03,水の精霊,35.201069,139.671067
2026/06/03,水の精霊,36.203892,139.506132
2026/06/03,水の精霊,36.661577,137.148696
2026/06/03,水の精霊,36.816088,137.582259
2026/06/03,水の精霊,37.358669,138.545972
2026/06/03,水の精霊,35.601175,137.941023
2026/06/03,水の精霊,34.276808,134.814982
2026/06/03,水の精霊,35.071879,134.074259
2026/06/03,水の精霊,34.041242,133.881969
2026/06/03,炎の精霊,39.358104,140.054584
2026/06/03,炎の精霊,35.090148,132.504787
2026/06/03,炎の精霊,35.498243,133.498867
2026/06/03,炎の精霊,31.875347,131.056252
2026/06/03,風の精霊,37.84611,140.93452
2026/06/03,風の精霊,37.847997,140.932775
2026/06/03,風の精霊,39.163867,140.163617
2026/06/03,風の精霊,37.984421,138.380992
2026/06/03,風の精霊,34.237921,135.28091
2026/06/03,風の精霊,34.966929,132.482414
2026/06/03,風の精霊,33.474516,133.471169
2026/06/03,大地の精霊,38.680169,139.751141
2026/06/03,大地の精霊,25.029559,121.563737
2026/06/03,水の精霊,38.097148,140.056283
2026/06/03,水の精霊,35.565316,138.520879
2026/06/03,水の精霊,26.328451,127.956626
2026/06/03,炎の精霊,44.100356,142.38307
2026/06/03,炎の精霊,35.781377,139.259166
2026/06/03,炎の精霊,34.876753,137.942523
2026/06/03,風の精霊,35.511438,137.585424
2026/06/03,風の精霊,34.430475,131.57377
2026/06/03,風の精霊,32.78492,132.92168
2026/06/03,風の精霊,33.332545,129.93202
2026/06/03,大地の精霊,35.88391,140.243483
2026/06/03,水の精霊,36.701133,138.985111
2026/06/03,水の精霊,33.725202,134.540062
2026/06/03,炎の精霊,42.830128,143.155338
2026/06/03,風の精霊,43.039453,143.208499
2026/06/03,風の精霊,38.034774,140.796125
2026/06/03,風の精霊,34.7333,133.800107
2026/06/03,風の精霊,35.405116,133.25223
2026/06/03,風の精霊,33.605654,134.349332
2026/06/03,大地の精霊,43.098137,144.116228
2026/06/03,水の精霊,35.562526,139.560882
2026/06/03,水の精霊,36.202842,139.504647
2026/06/03,水の精霊,35.123773,137.09384
2026/06/03,水の精霊,36.027962,138.024713
2026/06/03,水の精霊,34.863234,134.623575
