日付,名前,緯度,経度
2026/07/14,大地の精霊,36.050274,139.616182
2026/07/14,大地の精霊,35.729621,139.423785
2026/07/14,大地の精霊,35.329894,139.616263
2026/07/14,大地の精霊,36.433969,139.231917
2026/07/14,大地の精霊,36.293616,139.368918
2026/07/14,大地の精霊,36.216837,139.478549
2026/07/14,大地の精霊,36.101553,139.835551
2026/07/14,大地の精霊,36.675937,137.174272
2026/07/14,大地の精霊,35.48519,136.872633
2026/07/14,大地の精霊,36.878814,136.790793
2026/07/14,大地の精霊,36.548432,136.625537
2026/07/14,大地の精霊,34.824626,138.271289
2026/07/14,大地の精霊,35.084153,138.930277
2026/07/14,大地の精霊,34.655098,136.543307
2026/07/14,大地の精霊,34.525021,135.391317
2026/07/14,大地の精霊,33.922586,134.622835
2026/07/14,大地の精霊,32.99828,132.921267
2026/07/14,大地の精霊,33.870257,130.836895
2026/07/14,大地の精霊,33.659315,130.782001
2026/07/14,大地の精霊,32.864846,130.288377
2026/07/14,水の精霊,38.594574,140.987647
2026/07/14,水の精霊,35.742573,139.83518
2026/07/14,水の精霊,35.781286,139.643343
2026/07/14,水の精霊,36.293667,139.643385
2026/07/14,水の精霊,36.522902,140.63099
2026/07/14,水の精霊,35.743254,140.823793
2026/07/14,水の精霊,35.278333,136.982102
2026/07/14,水の精霊,37.798124,138.84787
2026/07/14,水の精霊,34.890029,134.732287
2026/07/14,水の精霊,34.629513,135.829947
2026/07/14,水の精霊,34.707718,135.720223
2026/07/14,炎の精霊,41.741963,140.601144
2026/07/14,炎の精霊,38.321143,141.481375
2026/07/14,炎の精霊,38.321839,140.384102
2026/07/14,炎の精霊,35.588526,140.495096
2026/07/14,炎の精霊,35.948266,139.396419
2026/07/14,炎の精霊,35.511121,139.286696
2026/07/14,炎の精霊,35.5111,139.561486
2026/07/14,炎の精霊,36.051523,140.222116
2026/07/14,炎の精霊,35.576807,139.097128
2026/07/14,炎の精霊,35.123423,137.091683
2026/07/14,炎の精霊,35.044678,136.8167
2026/07/14,炎の精霊,38.222617,139.505725
2026/07/14,炎の精霊,35.032457,135.802519
2026/07/14,炎の精霊,34.902313,135.747617
2026/07/14,炎の精霊,34.420576,135.336295
2026/07/14,炎の精霊,34.119473,131.411934
2026/07/14,炎の精霊,33.210194,130.287969
