日付,名前,緯度,経度
2026/07/29,大地の精霊,38.446058,141.31743
2026/07/29,大地の精霊,35.665474,139.890307
2026/07/29,大地の精霊,35.550008,140.137565
2026/07/29,大地の精霊,36.01227,139.53298
2026/07/29,大地の精霊,36.242583,138.930123
2026/07/29,大地の精霊,35.123425,136.872361
2026/07/29,大地の精霊,37.358669,138.545972
2026/07/29,大地の精霊,35.174972,138.683136
2026/07/29,大地の精霊,34.064641,135.201144
2026/07/29,大地の精霊,35.032881,136.131588
2026/07/29,大地の精霊,34.90278,132.070966
2026/07/29,大地の精霊,33.96212,134.597239
2026/07/29,水の精霊,43.143614,141.372006
2026/07/29,水の精霊,43.143179,141.20582
2026/07/29,水の精霊,37.093218,140.383859
2026/07/29,水の精霊,36.472164,139.095036
2026/07/29,水の精霊,36.813969,137.421412
2026/07/29,水の精霊,35.4087,138.901412
2026/07/29,水の精霊,35.330109,136.598203
2026/07/29,水の精霊,35.459401,136.872468
2026/07/29,水の精霊,34.979921,136.955426
2026/07/29,水の精霊,35.97393,136.159101
2026/07/29,水の精霊,35.949208,137.971319
2026/07/29,水の精霊,35.058816,138.875535
2026/07/29,水の精霊,34.236384,132.208561
2026/07/29,水の精霊,34.420408,132.372909
2026/07/29,水の精霊,34.041639,132.948611
2026/07/29,炎の精霊,38.321653,140.987788
2026/07/29,炎の精霊,37.422683,140.384512
2026/07/29,炎の精霊,35.820026,140.109515
2026/07/29,炎の精霊,35.433763,139.451405
2026/07/29,炎の精霊,35.484398,139.287039
2026/07/29,炎の精霊,36.331896,139.012297
2026/07/29,炎の精霊,35.006727,137.174203
2026/07/29,炎の精霊,37.119096,138.90255
2026/07/29,炎の精霊,34.812078,134.625052
2026/07/29,炎の精霊,34.237476,135.17139
2026/07/29,炎の精霊,34.551309,133.580187
2026/07/29,炎の精霊,33.23648,131.714551
2026/07/29,炎の精霊,31.71318,130.72717
2026/07/29,風の精霊,38.48356,140.906439
2026/07/29,風の精霊,40.425413,141.702154
2026/07/29,風の精霊,37.696768,140.932571
2026/07/29,風の精霊,40.233759,140.549065
2026/07/29,風の精霊,35.884022,139.917753
2026/07/29,風の精霊,35.806985,139.258618
2026/07/29,風の精霊,36.548611,139.753237
2026/07/29,風の精霊,36.331929,139.780458
2026/07/29,風の精霊,34.928622,138.271639
2026/07/29,風の精霊,35.032702,136.625483
2026/07/29,風の精霊,34.70771,135.226328
2026/07/29,風の精霊,33.672411,135.363994
2026/07/29,風の精霊,34.590499,135.582357
2026/07/29,風の精霊,33.646391,133.771464
2026/07/29,風の精霊,33.659518,130.452649
2026/07/29,風の精霊,33.578953,131.110153
2026/07/29,大地の精霊,37.886516,140.521774
2026/07/29,大地の精霊,36.675289,137.119235
2026/07/29,大地の精霊,35.484855,138.462496
2026/07/29,大地の精霊,33.184095,131.768449
2026/07/29,水の精霊,39.775602,141.096586
2026/07/29,水の精霊,40.716425,140.548786
2026/07/29,水の精霊,34.631848,136.000686
2026/07/29,水の精霊,34.433393,131.413102
2026/07/29,水の精霊,34.093096,132.016707
2026/07/29,水の精霊,34.453728,131.403866
2026/07/29,水の精霊,33.289446,132.592517
2026/07/29,炎の精霊,36.255885,140.221585
2026/07/29,炎の精霊,34.850622,137.503401
2026/07/29,炎の精霊,37.848112,138.957664
2026/07/29,炎の精霊,36.293216,138.381836
2026/07/29,炎の精霊,34.681905,138.18934
2026/07/29,炎の精霊,34.940108,135.335498
2026/07/29,炎の精霊,35.407606,135.994575
2026/07/29,風の精霊,43.56948,144.965547
2026/07/29,風の精霊,38.693613,141.206718
2026/07/29,風の精霊,35.7168,140.3841
2026/07/29,風の精霊,36.854134,140.027919
2026/07/29,風の精霊,36.13961,140.575551
2026/07/29,風の精霊,36.268221,139.91749
2026/07/29,風の精霊,35.510414,136.927108
2026/07/29,風の精霊,36.20413,136.159359
2026/07/29,風の精霊,33.447694,130.068848
2026/07/29,水の精霊,36.814957,136.982524
2026/07/29,水の精霊,35.627099,137.61496
2026/07/29,水の精霊,36.357412,138.025682
2026/07/29,水の精霊,34.106711,131.056045
2026/07/29,水の精霊,26.314435,127.764074
2026/07/29,炎の精霊,35.884762,140.574235
2026/07/29,炎の精霊,34.187519,134.624284
2026/07/29,風の精霊,43.027731,141.81114
2026/07/29,風の精霊,35.229998,138.681936
2026/07/29,風の精霊,35.097605,134.019007
2026/07/29,風の精霊,32.957491,132.947803
2026/07/29,水の精霊,35.252751,139.890175
2026/07/29,水の精霊,35.511438,137.585424
2026/07/29,水の精霊,36.737159,138.518922
2026/07/29,水の精霊,34.079823,132.976656
2026/07/29,炎の精霊,40.535533,141.289158
2026/07/29,炎の精霊,35.005903,134.760125
2026/07/29,風の精霊,33.010997,130.642843
2026/07/29,風の精霊,31.439923,130.505798
2026/07/29,水の精霊,34.224178,132.455624
2026/07/29,炎の精霊,35.794186,140.658162
2026/07/29,炎の精霊,34.655558,138.957486
2026/07/29,炎の精霊,33.751358,136.022263
2026/07/29,炎の精霊,34.890029,134.732287
2026/07/29,炎の精霊,34.254379,135.198441
2026/07/29,炎の精霊,34.460233,133.772573
2026/07/29,炎の精霊,33.685633,131.60476
2026/07/29,風の精霊,36.319262,137.997315
2026/07/29,風の精霊,32.958395,129.93134
