日付,名前,緯度,経度
2026/08/18,大地の精霊,38.27197,140.987549
2026/08/18,大地の精霊,36.395488,139.807649
2026/08/18,大地の精霊,37.609802,138.984757
2026/08/18,大地の精霊,35.045481,138.518651
2026/08/18,大地の精霊,34.694729,137.722851
2026/08/18,大地の精霊,34.850786,138.326405
2026/08/18,大地の精霊,33.749112,136.021589
2026/08/18,大地の精霊,34.658177,134.952349
2026/08/18,大地の精霊,34.041272,131.851884
2026/08/18,大地の精霊,35.511348,133.580242
2026/08/18,大地の精霊,33.883576,132.729565
2026/08/18,大地の精霊,33.883331,132.7298
2026/08/18,大地の精霊,34.040966,133.607561
2026/08/18,大地の精霊,33.275884,130.425353
2026/08/18,大地の精霊,33.55391,131.330552
2026/08/18,大地の精霊,32.931133,130.699561
2026/08/18,大地の精霊,43.431686,144.087521
2026/08/18,大地の精霊,38.359646,140.356636
2026/08/18,大地の精霊,39.223665,141.068459
2026/08/18,大地の精霊,36.268203,140.246916
2026/08/18,大地の精霊,35.485286,133.031559
2026/08/18,大地の精霊,34.055948,134.238542
2026/08/18,大地の精霊,37.093523,140.932214
2026/08/18,大地の精霊,37.056096,138.92971
2026/08/18,大地の精霊,34.106759,131.604924
2026/08/18,大地の精霊,31.726857,131.138672
2026/08/18,大地の精霊,43.304586,145.596146
2026/08/18,大地の精霊,36.62444,140.027575
2026/08/18,大地の精霊,36.814061,139.890901
2026/08/18,大地の精霊,35.201133,132.483273
2026/08/18,大地の精霊,38.483172,141.124899
2026/08/18,水の精霊,43.05085,141.371575
2026/08/18,水の精霊,34.82489,135.308461
2026/08/18,水の精霊,34.393752,132.373281
2026/08/18,水の精霊,33.249526,131.356615
2026/08/18,水の精霊,42.492771,140.877821
2026/08/18,水の精霊,42.98145,140.548911
2026/08/18,水の精霊,34.694485,137.283933
2026/08/18,水の精霊,36.446397,136.626468
2026/08/18,水の精霊,34.785958,138.024198
2026/08/18,水の精霊,34.551287,135.775211
2026/08/18,水の精霊,33.515515,130.152104
2026/08/18,水の精霊,38.022595,140.603945
2026/08/18,水の精霊,37.447958,140.332003
2026/08/18,水の精霊,34.365401,136.867818
2026/08/18,水の精霊,33.963117,133.442817
2026/08/18,水の精霊,35.331217,136.379639
2026/08/18,水の精霊,35.084482,132.456579
2026/08/18,水の精霊,35.793737,138.079251
2026/08/18,水の精霊,35.472121,133.441846
2026/08/18,炎の精霊,43.724723,142.446419
2026/08/18,炎の精霊,38.222116,140.822948
2026/08/18,炎の精霊,35.704067,139.423791
2026/08/18,炎の精霊,35.369206,136.954932
2026/08/18,炎の精霊,37.860497,139.094868
2026/08/18,炎の精霊,37.16955,138.244148
2026/08/18,炎の精霊,35.485112,135.500566
2026/08/18,炎の精霊,35.097553,138.847794
2026/08/18,炎の精霊,34.302792,134.814187
2026/08/18,炎の精霊,35.097373,135.994701
2026/08/18,炎の精霊,33.249987,130.150709
2026/08/18,炎の精霊,39.406831,141.042881
2026/08/18,炎の精霊,37.056586,137.888245
2026/08/18,炎の精霊,35.057595,136.570809
2026/08/18,炎の精霊,35.278303,135.171052
2026/08/18,炎の精霊,34.758952,134.238487
2026/08/18,炎の精霊,34.550971,133.306099
2026/08/18,炎の精霊,34.133559,134.403591
2026/08/18,炎の精霊,31.726857,131.138672
2026/08/18,炎の精霊,33.672765,130.699432
2026/08/18,炎の精霊,36.62444,140.027575
2026/08/18,炎の精霊,35.627067,138.655678
2026/08/18,炎の精霊,37.245416,138.792522
2026/08/18,炎の精霊,35.007382,138.984957
2026/08/18,炎の精霊,34.51229,133.772299
2026/08/18,炎の精霊,33.447121,131.388559
2026/08/18,炎の精霊,34.617057,133.99086
2026/08/18,炎の精霊,33.105635,129.794626
2026/08/18,炎の精霊,35.006765,134.321115
2026/08/18,炎の精霊,35.608956,136.942941
2026/08/18,炎の精霊,37.05397,137.888334
2026/08/18,風の精霊,42.527461,142.112825
2026/08/18,風の精霊,38.285135,140.301806
2026/08/18,風の精霊,36.967314,140.8779
2026/08/18,風の精霊,39.700047,140.712905
2026/08/18,風の精霊,35.794459,140.219394
2026/08/18,風の精霊,35.200771,136.927358
2026/08/18,風の精霊,35.317524,138.874808
2026/08/18,風の精霊,34.863792,136.488307
2026/08/18,風の精霊,34.682664,136.212669
2026/08/18,風の精霊,34.668353,136.461031
2026/08/18,風の精霊,35.485007,135.391141
2026/08/18,風の精霊,33.869483,135.171375
2026/08/18,風の精霊,34.486171,135.47326
2026/08/18,風の精霊,34.694551,135.692847
2026/08/18,風の精霊,34.447306,133.415675
2026/08/18,風の精霊,42.667682,141.618683
2026/08/18,風の精霊,42.935525,142.030591
