日付,名前,緯度,経度
2026/08/11,大地の精霊,36.625006,136.954794
2026/08/11,大地の精霊,36.535794,136.544629
2026/08/11,大地の精霊,35.0845,136.735379
2026/08/11,大地の精霊,34.694668,135.034304
2026/08/11,大地の精霊,34.080354,135.171435
2026/08/11,大地の精霊,34.512077,135.582848
2026/08/11,大地の精霊,34.668635,135.857534
2026/08/11,大地の精霊,34.915795,136.213009
2026/08/11,大地の精霊,34.485894,132.510401
2026/08/11,大地の精霊,34.224406,133.717131
2026/08/11,大地の精霊,33.370164,130.398502
2026/08/11,大地の精霊,33.23661,131.659727
2026/08/11,水の精霊,35.446656,140.301628
2026/08/11,水の精霊,35.806965,139.588295
2026/08/11,水の精霊,35.806886,139.588129
2026/08/11,水の精霊,35.459551,139.341595
2026/08/11,水の精霊,35.433908,137.037205
2026/08/11,水の精霊,38.085432,138.436231
2026/08/11,水の精霊,35.510178,137.912776
2026/08/11,水の精霊,34.654781,137.80583
2026/08/11,水の精霊,34.655499,136.159147
2026/08/11,炎の精霊,37.572351,140.109533
2026/08/11,炎の精霊,39.076655,140.466689
2026/08/11,炎の精霊,35.291235,139.588434
2026/08/11,炎の精霊,36.0234,140.0546
2026/08/11,炎の精霊,36.47209,136.57071
2026/08/11,炎の精霊,35.006418,134.814395
2026/08/11,炎の精霊,34.928564,134.759996
2026/08/11,炎の精霊,34.551247,135.500742
2026/08/11,炎の精霊,35.045566,135.994506
2026/08/11,炎の精霊,33.764646,132.702392
2026/08/11,炎の精霊,33.487509,133.497911
2026/08/11,炎の精霊,33.926554,130.946188
2026/08/11,炎の精霊,33.908815,130.699784
2026/08/11,風の精霊,41.73099,140.576161
2026/08/11,風の精霊,38.742899,140.713623
2026/08/11,風の精霊,38.281293,140.741112
2026/08/11,風の精霊,38.172539,140.878211
2026/08/11,風の精霊,38.915262,141.097598
2026/08/11,風の精霊,37.459258,140.356972
2026/08/11,風の精霊,35.678186,140.412094
2026/08/11,風の精霊,35.678432,139.423952
2026/08/11,風の精霊,35.596577,139.800096
2026/08/11,風の精霊,36.472207,139.6981
2026/08/11,風の精霊,36.282671,139.010911
2026/08/11,風の精霊,35.844471,140.163742
2026/08/11,風の精霊,35.807391,140.740368
2026/08/11,風の精霊,36.114425,139.918013
2026/08/11,風の精霊,36.255296,137.147126
2026/08/11,風の精霊,34.720735,137.448606
2026/08/11,風の精霊,36.140367,137.942322
2026/08/11,風の精霊,34.185121,131.495423
2026/08/11,風の精霊,32.958395,129.93134
