日付,名前,緯度,経度
2026/08/08,大地の精霊,42.352403,141.042384
2026/08/08,大地の精霊,38.172547,140.878038
2026/08/08,大地の精霊,39.321118,141.013834
2026/08/08,大地の精霊,35.948102,139.725308
2026/08/08,大地の精霊,35.626915,139.698168
2026/08/08,大地の精霊,36.319088,140.466442
2026/08/08,大地の精霊,35.39449,136.570559
2026/08/08,大地の精霊,35.729931,137.942362
2026/08/08,大地の精霊,36.624805,138.326439
2026/08/08,大地の精霊,34.980722,136.570179
2026/08/08,大地の精霊,34.785616,135.555534
2026/08/08,大地の精霊,34.473031,135.391014
2026/08/08,大地の精霊,34.027485,132.976785
2026/08/08,大地の精霊,33.263101,130.452341
2026/08/08,水の精霊,35.045492,136.872354
2026/08/08,水の精霊,35.045473,137.091854
2026/08/08,水の精霊,37.320584,138.573431
2026/08/08,水の精霊,34.954867,138.436307
2026/08/08,水の精霊,34.707778,137.695419
2026/08/08,水の精霊,34.629892,136.105345
2026/08/08,水の精霊,34.772604,135.308375
2026/08/08,水の精霊,34.354476,132.508936
2026/08/08,水の精霊,26.214508,127.736567
2026/08/08,水の精霊,32.197147,130.781901
2026/08/08,炎の精霊,37.747765,140.493899
2026/08/08,炎の精霊,37.508494,140.136016
2026/08/08,炎の精霊,35.459461,140.000015
2026/08/08,炎の精霊,35.691929,140.32846
2026/08/08,炎の精霊,36.814978,139.945768
2026/08/08,炎の精霊,35.36914,137.285199
2026/08/08,炎の精霊,34.811691,137.366433
2026/08/08,炎の精霊,35.174986,136.927243
2026/08/08,炎の精霊,35.233784,136.733336
2026/08/08,炎の精霊,35.239719,136.735024
2026/08/08,炎の精霊,36.878814,136.790793
2026/08/08,炎の精霊,36.088933,136.241494
2026/08/08,炎の精霊,36.2809,137.9153
2026/08/08,炎の精霊,34.746701,137.777798
2026/08/08,炎の精霊,34.667867,136.515398
2026/08/08,炎の精霊,34.510954,136.680783
2026/08/08,炎の精霊,34.694512,134.979408
2026/08/08,炎の精霊,34.602875,135.55545
2026/08/08,炎の精霊,33.961717,132.071782
2026/08/08,炎の精霊,34.498879,132.592463
2026/08/08,炎の精霊,33.037546,130.589392
2026/08/08,風の精霊,35.794092,139.835476
2026/08/08,風の精霊,35.433534,139.505995
2026/08/08,風の精霊,36.319284,138.930157
2026/08/08,風の精霊,34.786285,135.665089
2026/08/08,風の精霊,34.066632,134.268379
2026/08/08,風の精霊,33.593227,133.498585
2026/08/08,風の精霊,32.824924,130.699637
2026/08/08,大地の精霊,38.520402,141.097291
2026/08/08,大地の精霊,38.693518,141.153165
2026/08/08,大地の精霊,39.296947,141.124955
2026/08/08,大地の精霊,37.508494,140.136016
