日付,名前,緯度,経度
2026/04/26,大地の精霊,43.764257,142.414332
2026/04/26,大地の精霊,36.126587,139.66989
2026/04/26,大地の精霊,35.639997,139.341756
2026/04/26,大地の精霊,36.331967,139.835097
2026/04/26,大地の精霊,36.370159,138.326552
2026/04/26,大地の精霊,34.693988,135.802546
2026/04/26,大地の精霊,35.045593,135.939714
2026/04/26,大地の精霊,34.028807,130.945179
2026/04/26,水の精霊,35.82005,140.658859
2026/04/26,水の精霊,35.058603,136.899784
2026/04/26,水の精霊,35.407766,137.804311
2026/04/26,水の精霊,26.109255,127.712002
2026/04/26,炎の精霊,43.796799,143.921642
2026/04/26,炎の精霊,38.594574,140.987647
2026/04/26,炎の精霊,40.824379,140.686052
2026/04/26,炎の精霊,35.87129,139.725795
2026/04/26,炎の精霊,34.381433,135.308683
2026/04/26,炎の精霊,34.512105,135.528138
2026/04/26,炎の精霊,34.473002,133.36087
2026/04/26,炎の精霊,34.250649,134.156496
2026/04/26,風の精霊,43.050823,141.481531
2026/04/26,風の精霊,38.334197,140.850317
2026/04/26,風の精霊,35.704286,140.247095
2026/04/26,風の精霊,36.204711,139.23208
2026/04/26,風の精霊,35.755657,139.588302
2026/04/26,風の精霊,36.3561,139.451544
2026/04/26,風の精霊,37.471778,138.847935
2026/04/26,風の精霊,34.70771,135.226328
2026/04/26,風の精霊,34.472619,135.82932
2026/04/26,風の精霊,34.040666,134.540115
2026/04/26,風の精霊,32.503746,131.687693
2026/04/26,風の精霊,33.037703,130.589053
2026/04/26,風の精霊,33.646198,130.425253
2026/04/26,風の精霊,32.839111,130.288769
2026/04/26,大地の精霊,38.604741,139.605805
2026/04/26,大地の精霊,35.510691,140.384302
2026/04/26,大地の精霊,36.408067,139.558711
2026/04/26,大地の精霊,35.665787,136.104529
2026/04/26,大地の精霊,34.343117,135.662756
2026/04/26,大地の精霊,34.028518,134.239084
2026/04/26,大地の精霊,33.369228,131.604783
2026/04/26,水の精霊,42.574278,141.400122
2026/04/26,水の精霊,35.858441,137.942355
2026/04/26,水の精霊,33.487733,133.278451
2026/04/26,水の精霊,33.31562,130.452712
2026/04/26,水の精霊,32.680599,130.619473
2026/04/26,炎の精霊,38.384486,140.740563
2026/04/26,炎の精霊,37.0937,140.2737
2026/04/26,炎の精霊,39.614797,140.576226
2026/04/26,炎の精霊,35.871589,139.997805
2026/04/26,炎の精霊,36.484492,140.000135
2026/04/26,炎の精霊,35.356366,139.066964
2026/04/26,炎の精霊,36.790883,136.762469
2026/04/26,炎の精霊,35.330112,138.957939
2026/04/26,炎の精霊,34.903701,135.19995
2026/04/26,炎の精霊,34.693988,135.802546
2026/04/26,炎の精霊,35.511154,133.964019
2026/04/26,風の精霊,36.011728,139.478643
2026/04/26,風の精霊,35.934958,139.260687
2026/04/26,風の精霊,34.812359,136.542506
2026/04/26,風の精霊,35.394846,133.224052
2026/04/26,風の精霊,34.578555,133.413581
2026/04/26,大地の精霊,43.143117,141.152628
2026/04/26,大地の精霊,43.489213,141.975569
2026/04/26,大地の精霊,43.533489,144.444634
2026/04/26,大地の精霊,43.328248,144.827986
2026/04/26,大地の精霊,37.509105,140.959992
2026/04/26,大地の精霊,36.18024,140.383755
2026/04/26,大地の精霊,35.341145,136.457498
2026/04/26,大地の精霊,35.162085,137.229209
2026/04/26,大地の精霊,36.790883,136.762469
2026/04/26,大地の精霊,34.798723,138.765573
2026/04/26,大地の精霊,35.071473,138.518465
2026/04/26,大地の精霊,34.903701,135.19995
2026/04/26,大地の精霊,34.706664,133.032503
2026/04/26,大地の精霊,34.74609,133.058061
2026/04/26,大地の精霊,31.647893,130.368372
2026/04/26,大地の精霊,23.484288,120.438922
2026/04/26,水の精霊,38.17298,140.768512
2026/04/26,水の精霊,39.870848,141.206642
2026/04/26,水の精霊,40.632348,141.344143
2026/04/26,水の精霊,36.5992,139.7533
2026/04/26,水の精霊,35.871638,140.329946
2026/04/26,水の精霊,35.626196,139.033857
2026/04/26,水の精霊,34.980645,134.979327
2026/04/26,水の精霊,33.037695,133.059125
2026/04/26,炎の精霊,42.958147,141.645831
2026/04/26,炎の精霊,43.120346,143.620567
2026/04/26,炎の精霊,37.245794,140.328773
2026/04/26,炎の精霊,37.659643,140.466814
2026/04/26,炎の精霊,35.832739,140.466084
2026/04/26,炎の精霊,36.675966,139.753132
2026/04/26,炎の精霊,36.317958,140.355402
2026/04/26,炎の精霊,35.432946,137.476344
2026/04/26,炎の精霊,37.472113,138.628879
2026/04/26,炎の精霊,34.824823,137.887543
2026/04/26,炎の精霊,34.148597,135.308787
2026/04/26,炎の精霊,34.237847,131.825037
2026/04/26,炎の精霊,34.433567,132.89452
2026/04/26,炎の精霊,34.291959,132.591317
2026/04/26,炎の精霊,35.40855,133.745263
2026/04/26,炎の精霊,33.354396,132.948398
2026/04/26,炎の精霊,32.971654,130.67241
2026/04/26,風の精霊,43.500086,144.691004
2026/04/26,風の精霊,42.911139,141.864374
2026/04/26,風の精霊,39.664275,140.246587
2026/04/26,風の精霊,40.751869,140.411043
2026/04/26,風の精霊,36.179572,139.56054
2026/04/26,風の精霊,36.510455,139.01222
2026/04/26,風の精霊,37.723249,138.902518
2026/04/26,風の精霊,34.53833,136.626892
2026/04/26,風の精霊,33.686449,135.448852
2026/04/26,風の精霊,33.184658,130.288606
2026/04/26,風の精霊,33.1312,131.6599
2026/04/26,風の精霊,32.825059,130.040874
2026/04/26,風の精霊,32.82494,130.041258
2026/04/26,大地の精霊,37.419873,140.275526
2026/04/26,大地の精霊,37.145162,140.987966
2026/04/26,大地の精霊,31.648468,130.373154
2026/04/26,炎の精霊,34.744206,134.815493
2026/04/26,風の精霊,36.293159,138.929871
2026/04/26,風の精霊,33.257578,131.714809
2026/04/26,大地の精霊,38.519857,141.317868
2026/04/26,風の精霊,35.639467,140.549029
2026/04/26,大地の精霊,34.746765,134.814788
2026/04/26,水の精霊,35.355923,137.036247
2026/04/26,炎の精霊,38.022616,140.603514
2026/04/26,炎の精霊,34.746765,134.814788
2026/04/26,炎の精霊,34.746141,134.815764
2026/04/26,風の精霊,43.471273,144.698027
