日付,名前,緯度,経度
2026/04/24,大地の精霊,35.794228,139.945095
2026/04/24,大地の精霊,34.811577,135.391018
2026/04/24,大地の精霊,35.433689,133.305863
2026/04/24,水の精霊,39.366465,140.077656
2026/04/24,水の精霊,35.678031,139.368668
2026/04/24,水の精霊,35.408292,139.286794
2026/04/24,水の精霊,35.871334,140.713363
2026/04/24,水の精霊,36.128837,139.944706
2026/04/24,水の精霊,36.560868,138.18871
2026/04/24,水の精霊,34.70776,138.02437
2026/04/24,水の精霊,34.407782,135.308679
2026/04/24,炎の精霊,37.810554,139.039992
2026/04/24,炎の精霊,37.55043,138.958197
2026/04/24,炎の精霊,35.51101,135.006769
2026/04/24,炎の精霊,35.175151,136.15907
2026/04/24,炎の精霊,34.184965,131.495057
2026/04/24,風の精霊,43.004298,141.426385
2026/04/24,風の精霊,39.173759,141.124803
2026/04/24,風の精霊,36.051839,139.668986
2026/04/24,風の精霊,35.678031,139.368668
2026/04/24,風の精霊,36.293667,139.643385
2026/04/24,風の精霊,36.281124,139.835783
2026/04/24,風の精霊,36.204044,139.559642
2026/04/24,風の精霊,36.662898,137.201738
2026/04/24,風の精霊,34.980681,137.064549
2026/04/24,風の精霊,34.694803,137.393732
2026/04/24,風の精霊,36.242603,137.942376
2026/04/24,風の精霊,34.889802,135.610556
2026/04/24,風の精霊,34.039102,131.467559
2026/04/24,風の精霊,34.615944,133.991652
2026/04/24,風の精霊,34.028013,133.031108
2026/04/24,風の精霊,32.67845,130.67217
2026/04/24,風の精霊,33.262967,130.452438
2026/04/24,大地の精霊,42.899012,143.264637
2026/04/24,大地の精霊,34.863859,136.433144
2026/04/24,大地の精霊,33.60668,130.672106
2026/04/24,水の精霊,35.717029,139.890225
2026/04/24,水の精霊,35.97393,140.21938
2026/04/24,水の精霊,37.093854,138.244221
2026/04/24,水の精霊,36.484463,136.488404
2026/04/24,水の精霊,34.939151,139.123746
2026/04/24,水の精霊,34.120419,133.653296
2026/04/24,水の精霊,33.554036,131.27562
2026/04/24,炎の精霊,42.864846,141.645892
2026/04/24,炎の精霊,37.207646,140.410606
2026/04/24,炎の精霊,39.700781,140.055828
2026/04/24,炎の精霊,35.627669,140.466864
2026/04/24,炎の精霊,35.317336,139.64335
2026/04/24,炎の精霊,37.194801,138.95654
2026/04/24,炎の精霊,36.076225,138.02561
2026/04/24,風の精霊,43.328037,142.415085
2026/04/24,風の精霊,43.004203,141.426493
2026/04/24,風の精霊,39.346003,141.562447
2026/04/24,風の精霊,35.884046,139.423746
2026/04/24,風の精霊,36.548611,139.753237
2026/04/24,風の精霊,36.701409,139.03764
2026/04/24,風の精霊,36.523186,140.5762
2026/04/24,風の精霊,35.510545,136.816722
2026/04/24,風の精霊,35.098467,137.255985
2026/04/24,風の精霊,35.278554,136.762566
2026/04/24,風の精霊,37.723249,138.902518
2026/04/24,風の精霊,35.98671,136.515786
2026/04/24,風の精霊,35.832565,137.942288
2026/04/24,風の精霊,36.204292,138.464408
2026/04/24,風の精霊,34.745962,136.133523
2026/04/24,風の精霊,35.485269,135.281711
2026/04/24,風の精霊,34.850861,134.484673
2026/04/24,風の精霊,34.850711,134.979122
2026/04/24,風の精霊,34.1721,135.3087
2026/04/24,風の精霊,33.961586,131.961565
2026/04/24,風の精霊,34.878538,134.072371
2026/04/24,風の精霊,34.459998,133.768154
2026/04/24,風の精霊,33.19699,129.822092
2026/04/24,風の精霊,32.492208,131.659282
2026/04/24,風の精霊,26.328908,127.848186
2026/04/24,風の精霊,32.891889,130.836784
2026/04/24,風の精霊,32.837461,130.617305
2026/04/24,風の精霊,32.798043,130.151489
2026/04/24,大地の精霊,38.691543,141.097372
2026/04/24,大地の精霊,37.118214,138.024673
2026/04/24,大地の精霊,34.067197,135.089026
