日付,名前,緯度,経度
2026/05/18,大地の精霊,37.045039,140.331953
2026/05/18,大地の精霊,35.781178,139.589238
2026/05/18,大地の精霊,36.037986,139.588079
2026/05/18,大地の精霊,36.217006,139.204438
2026/05/18,大地の精霊,36.53563,139.835482
2026/05/18,大地の精霊,35.588404,139.615817
2026/05/18,大地の精霊,37.358669,138.545972
2026/05/18,大地の精霊,37.84804,139.1768
2026/05/18,大地の精霊,36.866203,136.817657
2026/05/18,大地の精霊,34.394606,132.427972
2026/05/18,大地の精霊,34.222506,132.560433
2026/05/18,大地の精霊,33.514322,133.827177
2026/05/18,水の精霊,35.317396,136.62546
2026/05/18,炎の精霊,35.394251,139.423858
2026/05/18,炎の精霊,35.019557,137.091794
2026/05/18,炎の精霊,35.149426,136.872242
2026/05/18,炎の精霊,33.724295,135.471983
2026/05/18,炎の精霊,33.619801,131.193194
2026/05/18,風の精霊,43.258872,145.541644
2026/05/18,風の精霊,43.143271,141.645852
2026/05/18,風の精霊,42.685061,141.784057
2026/05/18,風の精霊,38.072812,140.877879
2026/05/18,風の精霊,37.346108,140.329356
2026/05/18,風の精霊,40.776098,140.740735
2026/05/18,風の精霊,36.178716,139.506194
2026/05/18,風の精霊,35.909682,140.027702
2026/05/18,風の精霊,34.824893,137.229084
2026/05/18,風の精霊,34.6165,135.8576
2026/05/18,風の精霊,31.605347,130.562507
2026/05/18,大地の精霊,34.968414,136.98197
2026/05/18,大地の精霊,34.8618,137.477255
2026/05/18,大地の精霊,37.622519,139.012198
2026/05/18,大地の精霊,34.891527,132.099769
2026/05/18,大地の精霊,33.477654,132.273388
2026/05/18,大地の精霊,33.843704,130.946621
2026/05/18,大地の精霊,33.487746,130.424944
2026/05/18,水の精霊,38.035364,140.74024
2026/05/18,水の精霊,36.242583,138.930123
2026/05/18,水の精霊,34.980412,138.490869
2026/05/18,水の精霊,35.097697,136.103171
2026/05/18,炎の精霊,36.535804,140.494622
2026/05/18,炎の精霊,36.319369,139.917445
2026/05/18,炎の精霊,35.319156,136.295445
2026/05/18,炎の精霊,33.196304,131.192958
2026/05/18,風の精霊,43.499758,141.946992
2026/05/18,風の精霊,42.376715,141.043196
2026/05/18,風の精霊,38.594574,140.987647
2026/05/18,風の精霊,40.236721,141.317382
2026/05/18,風の精霊,35.94842,136.159183
2026/05/18,風の精霊,34.001721,131.55008
2026/05/18,風の精霊,33.751496,132.784549
2026/05/18,大地の精霊,43.798637,143.961096
2026/05/18,大地の精霊,42.422633,139.890268
2026/05/18,大地の精霊,37.873524,140.932871
2026/05/18,大地の精霊,36.011834,139.862004
2026/05/18,大地の精霊,35.667809,140.378537
2026/05/18,大地の精霊,36.992497,139.999983
2026/05/18,大地の精霊,35.394251,139.423858
2026/05/18,大地の精霊,36.713802,140.713494
2026/05/18,大地の精霊,34.657251,137.147441
2026/05/18,大地の精霊,34.080024,131.055995
2026/05/18,大地の精霊,34.551803,133.635485
2026/05/18,大地の精霊,34.576974,133.525429
2026/05/18,大地の精霊,34.744641,133.881861
2026/05/18,大地の精霊,34.628675,132.702452
2026/05/18,大地の精霊,34.342237,132.702559
2026/05/18,大地の精霊,34.668053,132.400542
2026/05/18,大地の精霊,32.996881,131.605262
2026/05/18,水の精霊,42.09385,140.603673
2026/05/18,水の精霊,36.511078,137.802913
2026/05/18,水の精霊,35.743143,135.11681
2026/05/18,水の精霊,33.751496,132.784549
2026/05/18,水の精霊,33.080053,132.814143
2026/05/18,水の精霊,33.396378,131.549878
2026/05/18,水の精霊,32.79063,131.175728
2026/05/18,水の精霊,32.9596,129.9327
2026/05/18,水の精霊,24.266562,120.713313
2026/05/18,炎の精霊,41.613269,140.412788
2026/05/18,炎の精霊,38.594077,140.767429
2026/05/18,炎の精霊,38.595028,140.438927
2026/05/18,炎の精霊,40.570497,140.437385
2026/05/18,炎の精霊,36.255331,139.340093
2026/05/18,炎の精霊,36.01225,140.082453
2026/05/18,炎の精霊,35.508241,138.738413
2026/05/18,炎の精霊,35.13667,138.435363
2026/05/18,炎の精霊,34.120157,133.829151
2026/05/18,炎の精霊,32.674434,131.340666
2026/05/18,風の精霊,38.3231,140.7689
2026/05/18,風の精霊,35.511017,140.21946
2026/05/18,風の精霊,35.459671,136.213965
2026/05/18,風の精霊,35.474139,133.004637
2026/05/18,大地の精霊,43.558242,145.047183
2026/05/18,大地の精霊,39.455987,140.493912
2026/05/18,大地の精霊,39.455678,140.493898
2026/05/18,炎の精霊,36.038845,140.575948
2026/05/18,風の精霊,43.145952,141.647534
2026/05/18,風の精霊,36.31854,138.436216
2026/05/18,風の精霊,34.784266,135.224283
2026/05/18,風の精霊,34.381628,135.47305
2026/05/18,風の精霊,34.4205,135.775
2026/05/18,大地の精霊,43.730549,144.032557
2026/05/18,風の精霊,42.969801,141.618562
2026/05/18,大地の精霊,39.25994,140.987751
2026/05/18,大地の精霊,34.805491,134.484229
2026/05/18,水の精霊,36.191378,139.917777
2026/05/18,炎の精霊,35.055067,135.800575
2026/05/18,炎の精霊,35.058629,135.802431
2026/05/18,炎の精霊,34.041405,133.882957
2026/05/18,炎の精霊,33.8838,134.5404
2026/05/18,風の精霊,33.314245,130.782337
