日付,名前,緯度,経度
2026/05/01,大地の精霊,34.941551,135.665016
2026/05/01,大地の精霊,35.536958,133.251143
2026/05/01,大地の精霊,31.71336,131.111097
2026/05/01,水の精霊,38.247028,140.988171
2026/05/01,水の精霊,35.781226,139.91768
2026/05/01,水の精霊,35.665717,140.1645
2026/05/01,水の精霊,35.665564,139.780657
2026/05/01,水の精霊,35.588277,139.451298
2026/05/01,水の精霊,36.87816,140.082122
2026/05/01,水の精霊,35.291235,139.588434
2026/05/01,水の精霊,35.16231,139.643
2026/05/01,水の精霊,36.408297,140.439219
2026/05/01,水の精霊,34.863756,137.091787
2026/05/01,水の精霊,34.811793,137.421163
2026/05/01,水の精霊,36.089098,138.052163
2026/05/01,水の精霊,35.123349,138.847802
2026/05/01,水の精霊,34.889695,135.665307
2026/05/01,水の精霊,34.145997,132.181352
2026/05/01,炎の精霊,35.909752,140.192027
2026/05/01,炎の精霊,34.746634,138.051941
2026/05/01,炎の精霊,35.019447,136.48849
2026/05/01,炎の精霊,34.82473,135.528207
2026/05/01,炎の精霊,34.119473,131.411934
2026/05/01,風の精霊,42.980453,141.425639
2026/05/01,風の精霊,39.442722,140.02573
2026/05/01,風の精霊,35.98644,139.698341
2026/05/01,風の精霊,35.745955,139.395132
2026/05/01,風の精霊,36.40923,136.652384
2026/05/01,風の精霊,34.850809,137.832412
2026/05/01,風の精霊,32.877867,130.754646
2026/05/01,大地の精霊,38.222248,140.274278
2026/05/01,大地の精霊,38.704842,140.30129
2026/05/01,大地の精霊,37.207646,140.410606
2026/05/01,大地の精霊,36.370386,139.752413
2026/05/01,大地の精霊,34.66907,137.887595
2026/05/01,大地の精霊,34.747005,134.155337
2026/05/01,大地の精霊,35.484815,133.031673
2026/05/01,大地の精霊,34.499837,132.485241
2026/05/01,大地の精霊,34.629597,133.086416
2026/05/01,大地の精霊,32.958226,132.618556
2026/05/01,大地の精霊,33.606904,130.727493
2026/05/01,大地の精霊,24.986539,121.536425
2026/05/01,水の精霊,38.1847,140.6312
2026/05/01,水の精霊,38.96757,141.153309
2026/05/01,水の精霊,37.910671,140.576048
2026/05/01,水の精霊,35.975715,139.891442
2026/05/01,水の精霊,35.304168,140.329067
2026/05/01,水の精霊,36.074702,139.504824
2026/05/01,水の精霊,36.399455,139.042797
2026/05/01,水の精霊,35.933819,140.470934
2026/05/01,水の精霊,36.5995,140.411485
2026/05/01,水の精霊,35.782974,138.436797
2026/05/01,水の精霊,35.626695,138.766043
2026/05/01,水の精霊,35.420733,137.283969
2026/05/01,水の精霊,35.355561,136.817808
2026/05/01,水の精霊,35.044959,136.817737
2026/05/01,水の精霊,35.00728,137.228781
2026/05/01,水の精霊,37.910497,139.314106
2026/05/01,水の精霊,37.34521,138.792629
2026/05/01,水の精霊,37.646927,138.848181
2026/05/01,水の精霊,37.984421,138.380992
2026/05/01,水の精霊,36.612234,138.354048
2026/05/01,水の精霊,35.164503,138.603677
2026/05/01,水の精霊,34.811766,138.298888
2026/05/01,水の精霊,35.239762,138.930118
2026/05/01,水の精霊,34.813175,136.487703
2026/05/01,水の精霊,34.511506,136.51595
2026/05/01,水の精霊,34.954214,134.979165
2026/05/01,水の精霊,35.019734,135.17156
2026/05/01,水の精霊,35.097516,134.458308
2026/05/01,水の精霊,34.447003,135.556141
2026/05/01,水の精霊,34.616145,135.967535
2026/05/01,水の精霊,35.097431,136.268417
2026/05/01,水の精霊,34.159235,130.946227
2026/05/01,水の精霊,34.420275,133.196583
2026/05/01,水の精霊,34.499837,132.485241
2026/05/01,水の精霊,34.500347,132.482206
2026/05/01,水の精霊,33.369352,132.484217
2026/05/01,水の精霊,33.368241,130.234144
2026/05/01,水の精霊,33.170225,130.480199
2026/05/01,水の精霊,31.443209,130.343034
2026/05/01,炎の精霊,43.844079,142.440999
2026/05/01,炎の精霊,38.5942,140.387077
2026/05/01,炎の精霊,35.330054,139.176902
2026/05/01,炎の精霊,34.237365,135.227966
2026/05/01,炎の精霊,34.486719,133.004179
2026/05/01,炎の精霊,33.514945,131.358318
2026/05/01,炎の精霊,31.902211,131.440408
2026/05/01,炎の精霊,24.9868,121.4815
2026/05/01,風の精霊,43.266742,141.889804
2026/05/01,風の精霊,38.022943,140.16542
2026/05/01,風の精霊,39.677818,141.152008
2026/05/01,風の精霊,40.28234,141.31751
2026/05/01,風の精霊,40.209828,141.152202
2026/05/01,風の精霊,39.67608,140.16421
2026/05/01,風の精霊,40.098697,140.340547
2026/05/01,風の精霊,40.656179,140.576406
2026/05/01,風の精霊,40.487749,141.454108
2026/05/01,風の精霊,36.604148,139.00522
2026/05/01,風の精霊,36.063593,140.19188
2026/05/01,風の精霊,35.291589,137.393489
2026/05/01,風の精霊,33.96208,132.126314
2026/05/01,風の精霊,34.171835,133.826791
2026/05/01,風の精霊,31.808169,131.138191
2026/05/01,風の精霊,32.637876,130.973896
2026/05/01,風の精霊,33.790225,130.507329
2026/05/01,風の精霊,33.514671,130.699196
2026/05/01,風の精霊,32.812671,130.068529
2026/05/01,大地の精霊,40.186109,140.000579
2026/05/01,風の精霊,34.270169,131.025525
2026/05/01,大地の精霊,42.456403,142.165715
2026/05/01,炎の精霊,38.434346,140.465777
2026/05/01,水の精霊,36.522329,137.888718
2026/05/01,炎の精霊,38.398067,141.48376
