日付,名前,緯度,経度
2026/05/04,大地の精霊,35.639997,139.341756
2026/05/04,大地の精霊,35.019446,137.037365
2026/05/04,大地の精霊,35.019447,136.48849
2026/05/04,大地の精霊,34.733759,135.391037
2026/05/04,大地の精霊,24.768378,125.293471
2026/05/04,水の精霊,43.212229,141.53398
2026/05/04,水の精霊,37.459121,140.356607
2026/05/04,水の精霊,35.781226,139.91768
2026/05/04,水の精霊,35.54972,139.643455
2026/05/04,水の精霊,36.293887,139.094396
2026/05/04,水の精霊,37.983367,139.355135
2026/05/04,水の精霊,36.560581,138.133914
2026/05/04,水の精霊,35.005728,138.381522
2026/05/04,炎の精霊,41.823403,140.740662
2026/05/04,炎の精霊,38.022968,140.768172
2026/05/04,炎の精霊,35.097305,136.817538
2026/05/04,炎の精霊,36.866203,136.817657
2026/05/04,炎の精霊,35.511124,134.787447
2026/05/04,風の精霊,40.810874,140.766591
2026/05/04,風の精霊,40.728174,140.738945
2026/05/04,風の精霊,35.626827,140.082435
2026/05/04,風の精霊,35.93533,139.588534
2026/05/04,風の精霊,35.948227,139.396575
2026/05/04,風の精霊,36.139858,139.697993
2026/05/04,風の精霊,35.755481,139.314305
2026/05/04,風の精霊,35.47231,139.478654
2026/05/04,風の精霊,36.255473,139.505977
2026/05/04,風の精霊,36.088167,139.917369
2026/05/04,風の精霊,35.395015,137.009561
2026/05/04,風の精霊,34.915555,137.530499
2026/05/04,風の精霊,34.902536,138.272896
2026/05/04,風の精霊,34.472962,135.445919
2026/05/04,風の精霊,35.278064,136.268624
2026/05/04,大地の精霊,38.829265,141.563247
2026/05/04,大地の精霊,37.081146,140.960392
2026/05/04,大地の精霊,36.394642,138.381792
2026/05/04,大地の精霊,34.980596,134.706266
2026/05/04,大地の精霊,34.538246,133.82737
2026/05/04,大地の精霊,33.515374,132.498665
2026/05/04,大地の精霊,33.421977,129.95887
2026/05/04,水の精霊,42.363975,142.386832
2026/05/04,水の精霊,43.42038,141.810343
2026/05/04,水の精霊,43.20882,142.574301
2026/05/04,水の精霊,43.110393,144.09359
2026/05/04,水の精霊,43.085376,143.486395
2026/05/04,水の精霊,38.072812,140.877879
2026/05/04,水の精霊,38.21386,140.493606
2026/05/04,水の精霊,38.046064,139.998869
2026/05/04,水の精霊,37.015244,140.932102
2026/05/04,水の精霊,35.524074,140.136909
2026/05/04,水の精霊,36.395189,139.641799
2026/05/04,水の精霊,36.701311,139.753411
2026/05/04,水の精霊,36.866068,140.76838
2026/05/04,水の精霊,36.344602,140.082188
2026/05/04,水の精霊,35.561993,137.531254
2026/05/04,水の精霊,37.509754,138.875567
2026/05/04,水の精霊,37.647329,138.902571
2026/05/04,水の精霊,37.207776,138.32659
2026/05/04,水の精霊,36.31907,138.27157
2026/05/04,水の精霊,34.671176,138.870546
2026/05/04,水の精霊,34.261631,135.172877
2026/05/04,水の精霊,34.302649,135.582247
2026/05/04,水の精霊,35.407349,134.184161
2026/05/04,水の精霊,34.26379,134.129011
